player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
Isaiah Buggs,56503,DI,DET,10,62.3,255,,
James Houston,57810,ED,DET,3,45.2,42,,
Josh Paschal,57908,ED,DET,15,59.1,510,,
Derrick Barnes,58120,LB,DET,19,60.7,791,,
Malcolm Rodriguez,60731,LB,DET,14,57.4,162,,
Alim McNeill,76996,DI,DET,16,86.8,682,,
Aidan Hutchinson,82330,ED,DET,20,91,1146,,
Jerry Jacobs,83025,CB,DET,13,57.1,743,,
Kerby Joseph,83239,S,DET,18,56.5,1043,,
Steven Gilmore,83286,CB,DET,1,61.8,2,,
John Cominsky,88313,DI,DET,19,58.9,663,,61.90769231
Brodric Martin,91288,DI,DET,3,57.1,28,,
Anthony Pittman,94372,ED,DET,2,62.5,5,,
Jack Campbell,101515,LB,DET,20,52.1,745,,
Brian Branch,123907,CB,DET,18,78.9,873,,
Preston Smith,9471,ED,GB,19,70.5,838,,
Kenny Clark,10661,DI,GB,19,70.4,913,,
De'Vondre Campbell,10749,LB,GB,13,65.1,690,,
Rudy Ford,11963,S,GB,12,69.9,626,,
David Long Jr.,27377,CB,GB,7,65.7,190,,
Robert Rochell,33693,CB,GB,2,64.4,6,,
Darnell Savage,34247,S,GB,12,75.5,701,,
Zayne Anderson,34622,S,GB,2,29.8,14,,
Eric Wilson,38587,LB,GB,11,56.5,144,,
Rashan Gary,42905,ED,GB,19,79,667,,
Innis Gaines,44443,CB,GB,2,53.6,6,,
Dallin Leavitt,49120,S,GB,3,65.4,9,,
Jaire Alexander,49350,CB,GB,9,75.9,560,,
Kristian Welch,51283,LB,GB,1,60,1,,
Carrington Valentine,53750,CB,GB,17,57.5,846,,
Eric Stokes,55912,CB,GB,2,51.5,110,,
Keisean Nixon,56167,CB,GB,19,60,937,,
T.J. Slaton,56597,DI,GB,19,62.3,679,,
Isaiah McDuffie,57754,LB,GB,15,57.1,551,,
Jonathan Owens,66930,S,GB,17,59.6,927,,
Anthony Johnson Jr.,76736,S,GB,13,47.9,334,,
Karl Brooks,76941,DI,GB,19,69.8,440,,
Brenton Cox Jr.,81957,ED,GB,3,58.2,5,,
Devonte Wyatt,82268,DI,GB,19,59.6,644,,
Keshawn Banks,82385,ED,GB,1,59.8,2,,
Kingsley Enagbare,82409,ED,GB,18,62.5,493,,
Quay Walker,82547,LB,GB,16,58.5,973,,
Benny Sapp III,83304,S,GB,2,60.4,3,,
Corey Ballentine,83833,CB,GB,12,60.8,534,,
Henry Pearson,83930,FB,GB,1,60,1,,
Colby Wooden,98312,DI,GB,19,57.6,298,,
Lukas Van Ness,129482,ED,GB,19,62.3,444,,61.471875
Kareem Jackson,5545,S,HST,11,66.4,530,,
Jerry Hughes,5556,ED,HST,17,67.7,474,,
Jimmie Ward,8665,S,HST,10,68.4,506,,
Kerry Hyder Jr.,9045,ED,HST,6,60.3,99,,
Denzel Perryman,9481,LB,HST,14,56.4,633,,
Steven Nelson,9531,CB,HST,19,72.6,1192,,
Adrian Amos,9575,S,HST,15,72.2,395,,
Neville Hewitt,9836,LB,HST,1,65.7,3,,
Sheldon Rankins,10646,DI,HST,17,62.7,673,,
Maliek Collins,10701,DI,HST,18,60.9,780,,
Eric Murray,10740,S,HST,6,60.9,176,,
Hassan Ridgeway,10750,DI,HST,3,47.4,62,,
DeAndre Houston-Carson,10819,S,HST,14,56.5,589,,
Cory Littleton,11190,LB,HST,3,38.8,24,,
Derek Barnett,11769,ED,HST,16,82.4,415,,
Desmond King II,11906,CB,HST,10,74.2,400,,
D'Angelo Ross,27732,CB,HST,3,41.1,19,,
Kris Boyd,34222,CB,HST,2,53.9,14,,
Blake Cashman,35413,LB,HST,15,82.1,746,,
Grayland Arnold,43528,CB,HST,5,71.4,143,,
Jake Hansen,43645,LB,HST,8,70.1,54,,
Jonathan Greenard,48407,ED,HST,17,76.7,697,,
Michael Dogbe,48850,DI,HST,1,31.8,15,,
Khalil Davis,48988,DI,HST,17,64.4,481,,
M.J. Stewart,49397,S,HST,6,60.4,166,,
Ka'dar Hollman,49446,CB,HST,10,62.1,131,,
Kurt Hinish,56787,DI,HST,19,43.6,542,,
Jalen Pitre,57737,S,HST,17,61.8,1032,,
Tavierre Thomas,66931,CB,HST,7,72.2,352,,
Myjai Sanders,76816,ED,HST,9,61.8,189,,
Dylan Horton,81335,ED,HST,10,55.9,175,,
Teair Tart,82261,DI,HST,13,54,378,,
Derek Stingley Jr.,98253,CB,HST,13,82.1,812,,
Henry To'oTo'o,98982,LB,HST,14,45,459,,
Christian Harris,98996,LB,HST,18,64.9,869,,
Brandon Hill,99742,S,HST,1,60,1,,
Will Anderson Jr.,123903,ED,HST,17,81.6,695,,62.33333333
DeForest Buckner,10641,DI,IND,17,81.8,841,,
Samson Ebukam,11880,ED,IND,17,84.4,703,,
Grover Stewart,11899,DI,IND,11,76.2,445,,
Eric Johnson,33698,DI,IND,14,30.5,265,,
Kylen Granson,40630,TE,IND,1,59.9,1,,
McTelvin Agim,43069,DI,IND,1,50.1,13,,
Darrell Baker Jr.,43542,CB,IND,11,51.8,469,,
Tyquan Lewis,48475,ED,IND,17,73.7,437,,
Taven Bryan,48753,DI,IND,17,51.3,343,,
Ronnie Harrison,49206,LB,IND,7,64.9,234,,
Tony Brown,49255,CB,IND,2,27.6,56,,
Chris Lammons,49368,CB,IND,1,53.6,60,,
Julian Blackmon,49434,S,IND,15,68.3,987,,
Zaire Franklin,49834,LB,IND,16,60.9,1090,,
Jacob Martin,50152,ED,IND,17,62.1,192,,
Kenny Moore II,51596,CB,IND,16,77.4,1089,,
D.J. Montgomery,55003,WR,IND,1,59.9,1,,
Ameer Speed,55918,CB,IND,3,72,13,,
Grant Stuard,55933,LB,IND,5,32.6,32,,
Kwity Paye,56713,ED,IND,16,74.3,700,,
Dayo Odeyingbo,56923,ED,IND,17,56.9,623,,60.48571429
Trevor Denbow,77165,S,IND,3,50.4,7,,
Cameron McGrone,81300,LB,IND,3,82.7,8,,
JuJu Brents,83256,CB,IND,9,63.2,497,,
E.J. Speed,94351,LB,IND,16,65,730,,
Nick Cross,97514,S,IND,14,71.8,292,,
Adetomiwa Adebawore,97934,DI,IND,9,27.5,132,,
Isaiah Land,102108,ED,IND,6,70.6,31,,
Rodney Thomas II,108389,S,IND,17,58.2,962,,
Jaylon Jones,124328,CB,IND,15,56.8,788,,
Segun Olubi,128312,LB,IND,5,56.2,115,,
Dallis Flowers,156091,CB,IND,4,66.4,304,,
Angelo Blackson,9533,DI,JAX,11,53.8,215,,
Adam Gotsis,10697,DI,JAX,17,61,427,,
Roy Robertson-Harris,11341,DI,JAX,17,62.3,683,,
Dawuane Smoot,11823,ED,JAX,12,42.4,340,,
